File / Data,Focal Group,,Grouping_for_statistical_tests,Grouping_tests_MW,,,,,,,,,,,Infraphylum,Phylum,Kingdom,Paper Title,Year Published,Journal/Book,CI,RI,L,#mpts,MinL,TSI,PSI,meanci,meanri,MHER,originalchars,uninformativechars,informativechars,Taxa,%missingchars,Average GC standard bootstrap support,average jackknife support,Average symmetric resampling support,1st taxon in matrix (1st 10 chars),2nd taxon,3rd taxon,4th,5th,6th
Martinez_et_Alcober_2009a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A basal sauropodomorph (Dinosauria: Saurischia) from the Ischigualasto Formation (Triassic, Carnian) and the early evolution of Sauropodomorpha",2009,PLoS One,0.561,0.568,187,3,105,0.086,0.153,0.55,0.323,0.326,98,0,98,12,29.4,48.3,28.1,53.6,,,,,,
Mateus_etal_2011aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Angolatitan adamastor, a new sauropod dinosaur and the first record from Angola",2011,Anais da Academia Brasileira de Ciencias,0.642,0.793,405,2,260,0.141,0.219,0.434,0.239,0.71,234,2,232,30,43.3,53.2,22.7,60.7,,,,,,
Mateus_etal_2011ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Angolatitan adamastor, a new sauropod dinosaur and the first record from Angola",2011,Anais da Academia Brasileira de Ciencias,0.498,0.785,645,6650,321,0.04,0.081,0.286,0.253,0.693,309,0,309,49,55.1,21,9.7,23.4,,,,,,
Mo_etal_2010a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new eusauropod dinosaur from the Lower Cretaceous of Guangxi Province, southern China",2010,Acta Geologica Sinica,0.51,0.683,789,122,402,0.035,0.07,0.356,0.209,0.563,331,7,324,33,45.9,31.3,18.9,33.7,,,,,,
Nair_et_Salisbury_2012a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"New anatomical information on Rhoetosaurus brownei Longman, 1926, a gravisaurian sauropodomorph dinosaur from the Middle Jurassic of Queensland, Australia",2012,Journal of Vertebrate Paleontology,0.459,0.625,810,26,372,0.109,0.237,0.341,0.277,0.483,333,37,296,32,44.1,44.2,18.8,48,Theropoda_minus_Aves,Vulcanodo,Tazoudasa,Spinophor,Shunosaur,Barapasau
Nesbitt_etal_2009a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A complete skeleton of a Late Triassic saurischian and the early evolution of dinosaurs,2009,Science,0.425,0.71,869,6,369,0.145,0.341,0.319,0.297,0.596,315,2,313,41,37.9,63,33.5,67.6,Erythrosu,Euparkeri,Revueltos,Aetosauru,Arizonasa,Effigia_o
Novas_etal_2011a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,New dinosaur species from the Upper Triassic Upper Maleri and Lower Dharmaram formations of Central India,2011,Earth and Environmental Science Transactions of the Royal Society of Edinburgh,0.37,0.678,1197,21,443,0.069,0.187,0.262,0.232,0.559,380,0,380,56,50.1,29.6,10.8,34.7,Euparkeri,Crurotars,Marasuchu,Agnosphit,Anchisaur,Antetonit
OLeary_etal_2004aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Titanosaurian (Dinosauria: Sauropoda) remains from the Continental Intercalaire of Mali,2004,Journal of Vertebrate Paleontology,0.507,0.617,416,2,211,0.075,0.147,0.382,0.303,0.428,228,32,196,18,41.9,36.1,16.3,38.1,Omeisauru,Alamosaur,Antarctos,Apatosaur,Brachiosa,Camarasau
OLeary_etal_2004ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Titanosaurian (Dinosauria: Sauropoda) remains from the Continental Intercalaire of Mali,2004,Journal of Vertebrate Paleontology,0.644,0.795,402,16,259,0.08,0.124,0.425,0.294,0.713,234,2,232,30,43.5,53.3,21.3,53,Theropoda_minus_Aves,PROSAUROP,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Otero_et_Pol_2013a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Postcranial anatomy and phylogenetic relationships of <em>Mussaurus patagonicus</em> (Dinosauria, Sauropodomorpha)",2013,Journal of Vertebrate Paleontology,0.321,0.66,1332,10,427,0.061,0.189,0.235,0.264,0.533,364,0,364,56,44.4,30.6,12.6,36.2,Euparkeri,Crurotars,Marasuchu,Agnosphit,Anchisaur,Antetonit
Pol_etal_2011a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new sauropodomorph dinosaur from the Early Jurassic of Patagonia and the origin and evolution of the sauropod-type Sacrum,2011,PLoS One,0.513,0.795,612,7452,314,0.067,0.131,0.206,0.238,0.706,277,8,269,50,55.2,27.6,9,30.3,Lagerpeto,Marasuchu,Pseudolag,Silesauru,Azendhosa,Azendhosa
Rauhut_2006a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A brachiosaurid sauropod from the Late Jurassic Canadon Calcareo Formation of Chubut, Argentina",2006,Fossil Record,0.645,0.797,409,16,264,0.029,0.16,0.44,0.325,0.716,237,2,235,31,45,39.2,18,42,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Rauhut_etal_2005a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Discovery of a short-necked sauropod dinosaur from the Late Jurassic period of Patagonia,2005,Nature,0.519,0.673,314,24,163,0.083,0.203,0.42,0.289,0.505,154,0,154,27,46.5,33.8,13.4,37.9,Shunosaur,Amargasau,Amazonsau,Amphicoel,Apatosaur,Barosauru
Remes_2006a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Revision of the Tendaguru sauropod dinosaur Tornieria africana (Fraas) and its relevance for sauropod paleobiogeography,2006,Journal of Vertebrate Paleontology,0.605,0.776,430,2,260,0.158,0.169,0.264,0.233,0.683,234,2,232,32,43.5,55.8,24.2,61,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Remes_etal_2009a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A New Basal Sauropod Dinosaur from the Middle Jurassic of Niger and the Early Evolution of Sauropoda,2009,PLoS One,0.507,0.657,491,13,249,0.086,0.469,0.351,0.253,0.523,235,29,206,28,36.8,47.6,21.8,51.8,Plateosau,Vulcanodo,Tazoudasa,Barapasau,Omeisauru,Shunosaur
Riga_etal_2009a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Malarguesaurus florenciae gen. et sp. nov., a new titanosauriform (Dinosauria, Sauropoda) from the Upper Cretaceous of Mendoza, Argentina",2009,Cretaceous Research,0.575,0.678,186,14,107,0.108,0.672,0.391,0.266,0.484,102,18,84,23,42,36.8,14.3,41.1,Camarasau,Brachiosa,Euhelopus,Chubutisa,Phuwiango,Ligabuesa
Rose_2007a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new titanosauriform sauropod (Dinosauria: Saurischia) from the Early Cretaceous of Central Texas and its phylogenetic relationships,2007,Palaeontologica Electronica,0.616,0.785,414,1,255,0.22,0.215,0.432,0.321,0.693,230,2,228,34,46.1,56.6,25.5,61.5,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Rowe_etal_2011aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Dispersal and diversity in the earliest North American sauropodomorph dinosaurs, with a description of a new taxon",2011,Proceedings of the Royal Society of London B,0.335,0.67,1256,8,421,0.084,0.112,0.25,0.274,0.549,361,0,361,51,42.3,32.3,12.6,38.1,Euparkeri,Crurotars,Marasuchu,Aardonyx ,Adeopappo,Agnosphit
Rowe_etal_2011ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Dispersal and diversity in the earliest North American sauropodomorph dinosaurs, with a description of a new taxon",2011,Proceedings of the Royal Society of London B,0.362,0.639,815,525,295,0.04,0.065,0.389,0.213,0.493,292,5,287,38,42.8,25.7,11,30,Marasuchu,Heterodon,Lesothosa,Eoraptor ,Herrerasa,Guaibasau
Royo-Torres_et_Upchurch_2012aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The cranial anatomy of the sauropod Turiasaurus riodevensis and implications for its phylogenetic relationships,2012,Journal of Systematic Palaeontology,0.64,0.79,406,24,260,0.094,0.05,0.43,0.287,0.706,234,2,232,30,43.1,47.1,25.2,49.9,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Royo-Torres_et_Upchurch_2012ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,The cranial anatomy of the sauropod Turiasaurus riodevensis and implications for its phylogenetic relationships,2012,Journal of Systematic Palaeontology,0.492,0.782,651,100000,320,0.025,0.547,0.304,0.321,0.689,309,1,308,49,54.7,22.8,10,25,Marasuchu,Pseudolag,Ornithisc,Herrerasa,Neotherop,Prosaurop
Royo-Torres_etal_2006a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A giant European dinosaur and a new sauropod clade,2006,Science,0.478,0.773,672,100000,321,0.031,0.357,0.294,0.271,0.677,309,0,309,51,55.2,21.6,10.1,23.9,Marasuchu,Pseudolag,Ornithisc,Herrerasa,Neotherop,Prosaurop
Royo-Torres_etal_2009a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"High European sauropod dinosaur diversity during Jurassic-Cretaceous transition in Riodeva (Teruel, Spain)",2009,Palaeontology,0.618,0.782,421,4,260,0.221,0.287,0.554,0.453,0.69,234,2,232,32,44.4,56.9,27.4,62.9,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Royo-Torres_etal_2012aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new specimen of the Cretaceous sauropod <em>Tastavinsaurus sanzi</em> from El Castellar (Teruel, Spain), and a phylogenetic analysis of the Laurasiformes",2012,Cretaceous Research,0.626,0.785,417,18,261,0.18,0.306,0.449,0.363,0.698,234,1,233,31,43.5,55.2,26.5,59.3,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,
Royo-Torres_etal_2012ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new specimen of the Cretaceous sauropod <em>Tastavinsaurus sanzi</em> from El Castellar (Teruel, Spain), and a phylogenetic analysis of the Laurasiformes",2012,Cretaceous Research,0.626,0.783,417,10,261,0.192,0.106,0.393,0.23,0.697,234,1,233,30,42.2,59.7,29.5,64,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Royo-Torres_etal_2012ac.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new specimen of the Cretaceous sauropod <em>Tastavinsaurus sanzi</em> from El Castellar (Teruel, Spain), and a phylogenetic analysis of the Laurasiformes",2012,Cretaceous Research,0.478,0.774,671,12600,321,0.051,0.056,0.282,0.248,0.677,309,0,309,50,54.9,20.8,10.1,22.5,Marasuchu,Pseudolag,Ornithisc,Herrerasa,Neotherop,
Royo-Torres_etal_2012ad.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new specimen of the Cretaceous sauropod <em>Tastavinsaurus sanzi</em> from El Castellar (Teruel, Spain), and a phylogenetic analysis of the Laurasiformes",2012,Cretaceous Research,0.478,0.773,671,14000,321,0.027,0.146,0.293,0.285,0.675,309,0,309,49,54.3,20.3,10,22,Marasuchu,Pseudolag,Ornithisc,Herrerasa,Neotherop,Prosaurop
Rubilar-Rogers_etal_2012a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,An overview of the dinosaur fossil record from Chile,2012,Journal of South American Earth Sciences,0.645,0.796,403,10,260,0.189,0.833,0.406,0.246,0.715,234,2,232,30,43.4,55.8,27,60.4,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Ruiz-Omenaca_etal_1997a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Primera cita de dinosaurios barionicidos (Saurischia: Theropoda_minus_Aves) en el Barremiense superior (Cretacico inferior) de Vallipon (Castellote, Teruel)",1997,Beca del Museo de Mas de las Matas,0.75,0.92,8,3,6,0.625,0.182,0.583,0.815,0.571,3,0,3,13,2.6,29.1,17.4,29.3,Baryonyx_,Baryonyx_,cf._Baryo,Baryonyx_,Baryonych,Spinosaur
Russell_et_Zheng_1993a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A large mamenchisaurid from the Junggar Basin, Xinjiang, People's Republic of China",1993,Canadian Journal of Earth Sciences,0.564,0.585,39,1,22,0.385,0.249,0.611,0.587,0.274,21,2,19,9,5.8,34.8,23.6,34.8,Plateosau,Shunosaur,Mamenchis,Omeisauru,Euhelopus,Camarasau
Salgado_etal_1997a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Evolution of titanosaurid sauropods. I: Phylogenetic analysis based on the postcranial evidence,1997,Ameghiniana,0.846,0.945,52,2,44,0.5,0.378,0.344,0.262,0.898,38,0,38,18,26.2,62.4,22.3,67,Theropoda_minus_Aves,Vulcanodo,Barapasau,Diplodoci,Camarasau,Brachiosa
Salgado_etal_2004a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Lower Cretaceous rebbachisaurid sauropods from Cerro Aguada del Leon (Lohan Cura Formation), Neuquen Province, Northwestern Patagonia, Argentina",2004,Journal of Vertebrate Paleontology,0.787,0.872,47,1,37,0.298,0.378,0.576,0.493,0.768,37,0,37,14,33.6,47.5,14.9,51.9,Jobaria,CAMARASAU,Haplocant,Zapalasau,Limaysaur,Nigersaur
Salgado_etal_2006a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"Zapalasaurus bonapartei, a new sauropod dinosaur from La Amarga Formation (Lower Cretaceous), northwestern Patagonia, Neuquen Province, Argentina",2006,Geobios,0.787,0.872,47,1,37,0.298,0.521,0.576,0.493,0.768,37,0,37,14,33.6,47.5,14.9,51.9,Jobaria,CAMARASAU,Haplocant,Zapalasau,Limaysaur,Nigersaur
Sander_etal_2006aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Bone histology indicates insular dwarfism in a new Late Jurassic sauropod dinosaur,2006,Nature,0.63,0.787,414,2,261,0.217,0.282,0.422,0.282,0.704,234,1,233,30,40.9,62.1,31.8,66.4,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Sander_etal_2006ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Bone histology indicates insular dwarfism in a new Late Jurassic sauropod dinosaur,2006,Nature,0.522,0.724,347,12,181,0.147,0.153,0.317,0.251,0.588,219,43,176,29,44.8,42.9,18.2,43.4,Ancestor,Alamosaur,Amargasau,Andesauru,Apatosaur,Barapasau
Sander_etal_2006ac.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Bone histology indicates insular dwarfism in a new Late Jurassic sauropod dinosaur,2006,Nature,0.571,0.521,217,1,124,0.088,0.252,0.251,0.208,0.273,316,197,119,13,38.8,70.9,11.8,43.6,Herrerasa,Euhelopus,Omeisauru,Diplodoco,Atlasauru,Camarasau
Santucci_2008aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"First titanosaur (Saurischia, Sauropoda) axial remains from the Uberaba Formation, Upper Cretaceous, Bauru Group, Brazil",2008,Historical Biology,0.64,0.792,406,29,260,0.067,0.053,0.432,0.303,0.709,234,2,232,31,45.1,35.7,17.7,40.2,Theropoda_minus_Aves,Prosaurop,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Santucci_2008ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"First titanosaur (Saurischia, Sauropoda) axial remains from the Uberaba Formation, Upper Cretaceous, Bauru Group, Brazil",2008,Historical Biology,0.495,0.784,648,24150,321,0.026,0.291,0.294,0.268,0.69,309,0,309,50,56,19.5,9.2,22,Marasuchu,Pseudolag,Ornithisc,Herrerasa,Neotherop,Prosaurop
Santucci_et_Arruda-Campos_2011a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new sauropod (Macronaria, Titanosauria) from the Adamantina Formation, Bauru Group, Upper Cretaceous of Brazil and the phylogenetic relationships of Aeolosaurini",2011,Zootaxa,0.619,0.796,433,20,268,0.18,0.488,0.404,0.285,0.705,241,2,239,38,51.5,48.1,19.9,51.2,Theropoda_minus_Aves,PROSAUROP,Vulcanodo,Barapasau,Omeisauru,Shunosaur
Sanz_etal_1999a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Sauropod remains from the Upper Cretaceous of Lano (Northcentral Spain). Titanosaur phylogenetic relationships,1999,Estudios del Museo de Ciencias Naturales de Alava,0.612,0.548,49,1,30,0.184,0.133,0.411,0.329,0.19,43,18,25,9,21.4,43.5,18.6,44.7,Patagosau,Haplocant,Opishtoco,Andesauru,Saltasaur,Agyrosaur
Sekiya_2010a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new prosauropod dinosaur from Lower Jurassic in Lufeng of Yunnan,2010,Global Geology,0.388,0.647,757,87,294,0.03,0.754,0.28,0.241,0.504,292,4,288,35,44.4,20.9,10,23.1,Marasuchu,Heterodon,Lesothosa,Eoraptor ,Herrerasa,Guaibasau
Sekiya_etal_inpressa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,"A new juvenile specimen of <em>Yunnanosaurus robustus</em> (Dinosauria: Sauropodomorpha) from Early to Middle Jurassic of Chuxiong Autonomous Prefecture, Yunnan Province, China",2014,Historical Biology,0.331,0.503,1485,4,491,0.058,0.724,0.296,0.261,0.335,505,57,448,33,36.5,32,15.6,34.8,Marasuchu,Eoraptor ,Herrerasa,Guaibasau,Anchisaur,Antetonit
Sereno_etal_2007a.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,Structural extremes in a Cretaceous dinosaur,2007,PLoS One,0.694,0.773,147,5,102,0.163,0.767,0.581,0.455,0.648,102,3,99,16,43.8,46.2,16.3,49.9,Omeisauru,Jobaria  ,MACRONARI,Apatosaur,Suuwassea,Diplodocu
Sertich_et_Loewen_2010aa.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new basal sauropodomorph dinosaur from the Lower Jurassic Navajo Sandstone of southern Utah,2010,PLoS One,0.365,0.678,1150,24,420,0.069,0.701,0.249,0.215,0.562,361,0,361,50,43,34,13.2,39.6,Euparkeri,Crurotars,Marasuchu,Aardonyx ,Adeopappo,Agnosphit
Sertich_et_Loewen_2010ab.tnt,,,Saurischia_minus_Theropoda,Saurischia_minus_Theropoda,,Dinosauromorpha,Avemetatarsalia,Archosauromorpha,Diapsida,Sauropsida,Amniota,Tetrapoda,Sarcopterygii,Osteichthyes,Gnathostomata,Chordata,Animalia,A new basal sauropodomorph dinosaur from the Lower Jurassic Navajo Sandstone of southern Utah,2010,PLoS One,0.386,0.662,759,48,293,0.058,0.922,0.517,0.48,0.525,292,5,287,37,43.7,27.3,11.3,31,Marasuchu,Heterodon,Lesothosa,Eoraptor ,Herrerasa,Guaibasau
