File / Data,Focal Group,,Grouping_for_statistical_tests,Grouping_tests_MW,,,,,,,,,,,Infraphylum,Phylum,Kingdom,Paper Title,Year Published,Journal/Book,CI,RI,L,#mpts,MinL,TSI,PSI,meanci,meanri,MHER,originalchars,uninformativechars,informativechars,Taxa,%missingchars,Average GC standard bootstrap support,average jackknife support,Average symmetric resampling support,1st taxon in matrix (1st 10 chars),2nd taxon,3rd taxon,4th,5th,6th
Lieberman_1999ad.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.506,0.686,87,6,44,0.207,0.409,0.466,0.379,0.457,35,0,35,18,11.4,31.9,13.7,37.6,,,,,,
Lieberman_1999ae.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.8,0.75,5,1,4,0.6,0.75,,0.75,0.415,4,0,4,5,0,70.9,46.1,74.2,,,,,,
Lieberman_1999af.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.714,0.667,7,1,5,0.429,0.6,1,0.4,0.203,5,0,5,6,0,50.8,31.4,57.5,,,,,,
Lieberman_1999ag.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.724,0.8,29,2,21,0.276,0.381,0.645,0.421,0.617,17,1,16,11,0.5,49.2,24.2,51.6,,,,,,
Lieberman_1999ah.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic revision of the Olenelloidea (Trilobita, Cambrian)",1999,Bulletin of the Peabody Museum of Natural History,0.6,0.6,10,1,6,0.4,0.667,0.714,0.429,-0.02,7,1,6,7,4.1,31.4,25.2,31.6,,,,,,
Lieberman_2001a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Phylogenetic analysis of the Olenellina Walcott, 1890 (Trilobita, Cambrian)",2001,Journal of Paleontology,0.324,0.53,253,1,82,0.099,0.305,0.309,0.341,0.221,57,1,56,26,15.7,17.8,8.5,21,,,,,,
Lieberman_et_Kloc_1997a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Evolutionary and biogeographic patterns in the Asteropyginae (Trilobita, Devonian) Delo, 1935",1997,Bulletin of the American Museum of Natural History,0.21,0.486,477,10,100,0.069,0.329,0.176,0.299,0.175,66,5,61,40,5,12.6,5.2,14.3,,,,,,
Lieberman_etal_1991a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematics and biogeography of the &quot;<em>Malvinella</em> Group,&quot; Calmoniidae (Trilobita, Devonian)",1991,Journal of Paleontology,0.517,0.642,118,1,61,0.254,0.492,0.497,0.355,0.431,51,0,51,14,12.5,45.8,23.2,53.3,,,,,,
Park_etal_2002a.tnt,Ostracoda,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Phylogenetic relationships of <em>Gomphocythere</em> (Ostracoda) in Lake Tanganyika, East Africa",2002,Journal of Crustacean Biology,0.516,0.63,91,7,47,0.176,0.341,0.418,0.289,0.365,44,6,38,19,3.8,28.4,16.1,30.5,Cytheride,Leucocyth,Limnocyth,Gomphocyt,Gomphocyt,Gomphocyt
Ramskold_et_Chatterton_1991a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Revision and subdivision of the polyphyletic '<em>Leonaspis</em>' (Trilobita),1991,Transactions of the Royal Society of Edinburgh: Earth Sciences,0.344,0.797,163,100000,56,0,0.609,0.196,0.447,0.598,35,0,35,64,23.1,9.5,3.5,10.7,A_cincinn,D_scitula,E_bufo   ,E_acaresc,E_coronat,E_deflexa
Ramskold_et_Werdelin_1991a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,The phylogeny and evolution of some phacopid trilobites,1991,Cladistics,0.289,0.722,301,36,87,0.176,0.298,0.183,0.353,0.507,32,1,31,48,14.1,26.9,8.2,29.7,Hyp_Anc,Podowrine,A_quadril,A_woodbur,A_sufferi,A_sororia
Rode_et_Babcock_2003a.tnt,Crustacea,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Phylogeny of fossil and extant freshwater crayfish and some closely related nephropid lobsters,2003,Journal of Crustacean Biology,0.277,0.637,191,1488,53,0.094,0.577,0.222,0.417,0.347,31,2,29,47,3,10.8,3.7,13.4,Palaeopal,Eryma_fos,Enoplocly,Homarus_a,Hoplopari,Metanephr
Rode_et_Lieberman_2002a.tnt,Crustacea,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Phylogenetic and biogeographic analysis of Devonian phyllocarid crustaceans,2002,Journal of Paleontology,0.452,0.835,188,3,85,0.261,0.61,0.239,0.405,0.731,54,0,54,43,10.1,28.7,10.8,33.5,Ceratioca,Ceratioca,Aristozoe,Carinatac,Dithryoca,Dithryoca
Schram_etal_1999a.tnt,Thylacocephala,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Thylacocephala (Arthropoda: Crustacea?) from the Cretaceous of Lebanon and implications for thylacocephalan systematics,1999,Palaeontology,0.537,0.597,67,7,36,0,0.11,0.356,0.262,0.209,15,0,15,18,3.3,,,,Concavica,Concavica,Concavica,Concavica,Concavica,Concavica
Shultz_2007a.tnt,arachnid orders,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,A phylogenetic analysis of the arachnid orders based on morphological characters,2007,Zoological Journal of the Linnean Society,0.554,0.854,424,18,235,0.271,0.537,0.294,0.232,0.789,202,2,200,59,32.8,50.4,24.3,53.7,Weinbergi,Limuloide,Euproops ,Limulus  ,Tachypleu,Baltoeury
Sundberg_1999aa.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Redescription of <em>Alokistocare subcoronatum</em> (Hall and Whitfield, 1877), the type species of <em>Alokistocare</em>, and the status of Alokistocaridae Resser, 1939B (Ptychopariida: Trilobita, Middle Cambrian)",1999,Journal of Paleontology,0.492,0.565,199,11,98,0.211,0,0.417,0.366,0.325,50,2,48,19,7.8,38.7,17.6,45.6,Ptychopar,Eoptychop,Pianaspis,Papyriasp,Amecephal,Amecephal
Sundberg_1999ab.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Redescription of <em>Alokistocare subcoronatum</em> (Hall and Whitfield, 1877), the type species of <em>Alokistocare</em>, and the status of Alokistocaridae Resser, 1939B (Ptychopariida: Trilobita, Middle Cambrian)",1999,Journal of Paleontology,0.433,0.548,231,5,100,0.113,0.085,0.52,0.352,0.323,50,2,48,19,7.8,31.2,16.1,33.8,Ptychopar,Eoptychop,Pianaspis,Papyriasp,Amecephal,Amecephal
Sundberg_2004a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Cladistic analysis of Early-Middle Cambrian kochaspid trilobites (Ptychopariida),2004,Journal of Paleontology,0.191,0.582,372745,2,71291,0,0.579,0.283,0.249,0.317,70,0,70,66,19.5,11.6,4.8,13.7,Elrathina,Syspaceph,Pachyaspi,Pachyaspi,Ptychopar,Amecephal
Sundberg_et_McCollum_1997a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Oryctocephalids (Corynexochida: Trilobita) of the Lower-Middle Cambrian boundary interval from California and Nevada,1997,Journal of Paleontology,0.425,0.508,167,43,71,0.036,0.368,0.353,0.277,0.199,36,3,33,22,4.8,15.8,7.5,17.3,Arthricoc,Changaspi,Lancastri,Opsiosory,Oryctocep,Oryctocep
Taylor_etal_1998a.tnt,Crustacea,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,New pygocephalomorph crustaceans from the Permian of China and their phylogenetic relationships,1998,Palaeontology,0.406,0.62,128,1085,52,0.039,0.074,0.4,0.279,0.321,33,2,31,31,10,12.8,6.5,13.5,Hypotheti,Lophogast,Gnathopha,Paralopho,Eucopia_u,Chalarasp
Tinn_et_Meidla_2004aa.tnt,Ostracoda,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Phylogenetic relationships of Early-Middle Ordovician ostracods of Baltoscandia,2004,Palaeontology,0.512,0.787,86,492,44,0.302,0.147,0.311,0.32,0.605,44,9,35,35,14.8,20.1,6.4,19.8,Hesslando,Nanopsis_,Unisulcop,H_proximu,D_lauta  ,B_angusto
Tinn_et_Meidla_2004ab.tnt,Ostracoda,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Phylogenetic relationships of Early-Middle Ordovician ostracods of Baltoscandia,2004,Palaeontology,0.479,0.782,94,112,45,0.181,0.286,0.277,0.288,0.583,44,9,35,35,14.8,22.1,6.8,21.4,Hesslando,Nanopsis_,Unisulcop,H_proximu,D_lauta  ,B_angusto
Waisfeld_etal_2001a,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematics of Shumardiidae (Trilobita), with new species from the Ordovician of Argentina",2001,Journal of Paleontology,0.233,0.477,424,8,99,0.064,0.273,0.221,0.328,0.173,52,0,52,43,10.9,16.6,7.1,19.5,,,,,,
Westrop_etal_1996aa,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Marjuman (Cambrian) agnostoid trilobites of the Cow Head Group, western Newfoundland",1996,Journal of Paleontology,0.309,0.711,139,1942,43,0.065,0.21,0.205,0.405,0.452,28,0,28,44,5,17,6.3,19.1,,,,,,
Westrop_etal_1996ab,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Marjuman (Cambrian) agnostoid trilobites of the Cow Head Group, western Newfoundland",1996,Journal of Paleontology,0.318,0.7,132,67640,42,0.061,0.191,0.217,0.382,0.43,28,0,28,44,5,14.5,5.3,17,,,,,,
Wheeler_et_Hayashi_1998a,chelicerate orders,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,The phylogeny of the extant chelicerate orders,1998,Cladistics,0.527,0.648,188,9,99,0.133,0.252,0.411,0.365,0.47,93,14,79,17,15,47.2,25.4,52.4,,,,,,
Yuan_etal_2006a,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Ontogeny and relationships of the trilobite <em>Pseudopetigurus</em> Pranti and Pribyl,2006,Palaeontology,0.565,0.714,69,14,39,0.348,0.616,0.454,0.477,0.505,25,1,24,17,5.6,45.9,19.3,49,,,,,,
Alvarez_etal_1998a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,The classification of athyridid brachiopods,1998,Journal of Paleontology,0.484,0.804,364,1,176,0.242,0.5,0.519,0.616,0.534,37,3,34,37,3.8,28.2,10.4,28.2,,,,,,
Cusack_etal_1999a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,Chemico-structural evolution of linguloid brachiopod shells,1999,Palaeontology,0.481,0.638,154,12,74,0.26,0.54,0.347,0.25,0.411,46,4,42,23,2.4,23.1,9,25.2,,,,,,
Dewing_2004a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,"Shell structure and its bearing on the phylogeny of Late Ordovician-Early Silurian strophomenoid brachiopods from Anticosti Island, Quebec",2004,Journal of Paleontology,0.564,0.712,39,4,22,0.231,0.409,0.404,0.387,0.417,15,2,13,15,0,20.7,11,22.8,,,,,,
Jin_etal_2006a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,Taxonomic reassessment of two virgianid brachiopod genera from the Upper Ordovician and Lower Silurian of South China,2006,Journal of Paleontology,0.591,0.578,66,18,39,0.03,0.051,0.486,0.31,0.23,24,5,19,12,0,20.9,13.2,22.4,,,,,,
Leighton_et_Maples_2002a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,"Evaluating internal versus external characters: phylogenetic analyses of the Echinoconchidae, Buxtoniinae, and Juresaniinae (Phylum Brachiopoda)",2002,Journal of Paleontology,0.569,0.728,51,1,29,0.275,0.482,0.485,0.365,0.547,24,0,24,14,1.5,52.3,23.6,56.1,,,,,,
Monks_et_Owen_2000a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,"Phylogeny of <em>Orbirhynchia</em> Pettitt, 1954 (Brachiopoda: Rhynchonellida)",2000,Palaeontology,0.593,0.782,54,10,32,0.259,0.437,0.438,0.368,0.613,22,1,21,17,0,29.8,15.6,30.2,,,,,,
Popov_etal_1999a.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,The earliest atrypides and athyridides (Brachiopoda) from the Ordovician of Kazakhstan,1999,Palaeontology,0.53,0.674,134,6,71,0,0.267,0.337,0.272,0.459,27,2,25,25,3.6,25.7,10,30.8,Oligorhyn,Ancistror,Cyclospir,Rozmanosp,Pectenosp,Manespira
Rode_2005aa.tnt,,,Brachiopoda,Brachiopoda,,,,,,,,,,,,Brachiopoda,Animalia,Systematic revision of the Middle and Late Devonian Brachiopods <em>Schizophoria (Schizophoria)</em> and '<em>Schuchertella</em>' from North America,2005,Journal of Systematic Palaeontology,0.3,0.526,130,307,39,0.015,0.256,0.239,0.201,0.135,36,2,34,25,8.8,10.4,5.2,11.8,S_Rhenosc,S_Eoschiz,S_Eoschiz,S_Eoschiz,S_Schizop,S_Schizop
